TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Texas,1,Erzkoy,00:08:02.3970000,25,1,0,00:01:35.9820000,True,Red Bull,0,False,False,
Texas,1,e1pege,00:08:11.8540000,18,2,0,00:01:36.5390000,False,Visa Cash App RB,0,False,False,
Texas,1,marselantuan,00:08:16.5610000,15,3,0,00:01:36.6740000,False,Aston Martin,0,False,False,
Texas,1,Andrea Kimi Antonelli,00:08:17.4200000,12,4,0,00:01:38.5330000,False,Mercedes-AMG Petronas,0,False,True,
Texas,1,Charles Leclerc,00:08:18.4410000,10,5,0,00:01:38.5310000,False,Ferrari,0,False,True,
Texas,1,Yuki Tsunoda,00:08:20.7340000,8,6,0,00:01:38.7410000,False,Visa Cash App RB,0,False,True,
Texas,1,,00:08:21.1050000,6,7,0,00:01:38.4890000,False,World Car,0,False,True,
Texas,1,FenomenalnyKorcz,00:08:35.6020000,4,8,0,00:01:41.2050000,False,Ferrari,0,False,False,
Texas,1,George Russell,00:08:36.0370000,2,9,0,00:01:40.3770000,False,Mercedes-AMG Petronas,0,False,True,
Texas,1,Fernando Alonso,00:08:36.4050000,1,10,0,00:01:40.1970000,False,Aston Martin,0,False,True,
Texas,1,Liam Lawson,00:08:37.9840000,0,11,0,00:01:41.6070000,False,Red Bull,0,False,True,
Texas,1,piotrek_player,00:08:38.0820000,0,12,0,00:01:38.8220000,False,McLaren,0,False,False,
Texas,1,Carlos Sainz,00:08:38.5750000,0,13,0,00:01:39.8790000,False,Williams,0,False,True,
Texas,1,Nico Hulkenberg,00:08:39.0700000,0,14,0,00:01:39.0200000,False,Kick Sauber,0,False,True,
Texas,1,Oliver Bearman,00:08:42.0410000,0,15,0,00:01:39.4950000,False,Haas,0,False,True,
Texas,1,Lando Norris,00:08:43.9690000,0,16,0,00:01:40.9960000,False,McLaren,0,False,True,
Texas,1,Gabriel Bortoleto,00:08:45.5840000,0,17,0,00:01:38.0550000,False,Kick Sauber,0,False,True,
Texas,1,BjornBartomeu,00:08:55.4840000,0,18,0,00:01:41.7950000,False,Williams,0,False,False,
Texas,1,Z1Z_PL,00:09:29.9620000,0,19,0,00:01:41.5460000,False,Haas,0,False,False,
Texas,1,SzPi1946,00:00:00,0,20,0,00:01:40.5100000,False,Alpine,0,False,False,
Texas,1,F1 Player,00:00:00,0,21,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False,
