TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Brazil,Erzkoy,00:01:08.8590000,Red Bull,False,
Brazil,piotrek_player,00:01:09.6180000,McLaren,False,
Brazil,marselantuan,00:01:10.2020000,Red Bull,False,
Brazil,e1pege,00:01:10.6740000,Ferrari,False,
Brazil,Fernando Alonso,00:01:11.5750000,Aston Martin,False,
Brazil,Alex Albon,00:01:11.7540000,Williams,False,
Brazil,Gabriel Bortoleto,00:01:11.7800000,Kick Sauber,False,
Brazil,,00:01:11.7930000,World Car,False,
Brazil,Carlos Sainz,00:01:11.8130000,Williams,False,
Brazil,Lando Norris,00:01:11.8660000,McLaren,False,
Brazil,Pierre Gasly,00:01:11.8780000,Alpine,False,
Brazil,Nico Hulkenberg,00:01:11.9050000,Kick Sauber,False,
Brazil,Lewis Hamilton,00:01:12.1090000,Ferrari,False,
Brazil,Yuki Tsunoda,00:01:12.1870000,Visa Cash App RB,False,
Brazil,BjornBartomeu,00:01:12.2280000,Haas,False,
Brazil,Andrea Kimi Antonelli,00:01:12.2410000,Mercedes-AMG Petronas,False,
Brazil,Oliver Bearman,00:01:12.3350000,Haas,False,
Brazil,Liam Lawson,00:01:12.5020000,Red Bull,False,
Brazil,Isack Hadjar,00:01:12.7570000,Visa Cash App RB,False,
Brazil,Lance Stroll,00:01:12.8500000,Aston Martin,False,
Brazil,F1 Player,00:00:00,Ferrari,False,
Brazil,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Brazil,SzPi1946,00:00:00,Aston Martin,False,
